epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.3959999978542328,17.685169219970703,0.6095555424690247,0.46666666865348816,17.098878860473633,0.6666666865348816
1,0.5617777705192566,16.46852684020996,0.7882221937179565,0.5666666626930237,16.12866973876953,0.8333333134651184
2,0.6384444236755371,15.578901290893555,0.8513333201408386,0.6333333253860474,15.348361015319824,0.8333333134651184
3,0.6775555610656738,14.719170570373535,0.8848888874053955,0.6333333253860474,14.47857666015625,0.8666666746139526
4,0.7215555310249329,13.857768058776855,0.9013333320617676,0.6333333253860474,13.785551071166992,0.8333333134651184
5,0.7480000257492065,13.045867919921875,0.9166666865348816,0.6333333253860474,12.888215065002441,0.8666666746139526
6,0.7644444704055786,12.2446870803833,0.9228888750076294,0.6333333253860474,12.257040977478027,0.800000011920929
7,0.7875555753707886,11.492157936096191,0.9419999718666077,0.699999988079071,11.489625930786133,0.8999999761581421
8,0.7979999780654907,10.76091480255127,0.9422222375869751,0.6666666865348816,10.853554725646973,0.8999999761581421
9,0.8137778043746948,10.082509994506836,0.9526666402816772,0.699999988079071,10.159756660461426,0.8999999761581421
10,0.8282222151756287,9.424280166625977,0.9537777900695801,0.6666666865348816,9.655485153198242,0.8666666746139526
11,0.8415555357933044,8.81925106048584,0.9633333086967468,0.699999988079071,8.97363567352295,0.8999999761581421
12,0.8524444699287415,8.25009822845459,0.9646666646003723,0.7333333492279053,8.411225318908691,0.9333333373069763
13,0.8615555763244629,7.741709232330322,0.9664444327354431,0.699999988079071,8.040400505065918,0.9333333373069763
14,0.8731111288070679,7.238992214202881,0.9737777709960938,0.7333333492279053,7.479424476623535,0.9666666388511658
15,0.8813333511352539,6.784553527832031,0.9764444231987,0.6666666865348816,7.157188415527344,1.0
16,0.8911111354827881,6.365392208099365,0.981333315372467,0.7333333492279053,6.702009677886963,0.9666666388511658
17,0.894444465637207,5.984889984130859,0.980222225189209,0.7333333492279053,6.3329949378967285,0.9666666388511658
18,0.9026666879653931,5.6428046226501465,0.9857777953147888,0.7666666507720947,6.004884719848633,0.9666666388511658
19,0.9048888683319092,5.329362392425537,0.9824444651603699,0.699999988079071,5.802571773529053,0.9666666388511658
